Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
4096,32,16,1,0,67.0565,1.58179,125.45,201.952,250.303,59.2772,0,35,35,2049.6,14.3655,3.00234,512
1024,8,8,1,1,2.0745,0.0339931,0,69.359,71.466,55.7553,0,33,32,1035.18,76.0952,12.131,64
1024,16,16,1,1,1.51711,0.0315489,0,68.61,68.692,51.2099,0,33,32,1415.51,81.3509,16.588,256
1024,32,32,1,1,1.63542,0.038822,0,64.84,67.151,51.2095,0,32,32,1313.11,96.3356,15.388,1024
1024,16,32,1,1,1.55155,0.0363865,0,64.36,68.115,51.2077,0,32,32,1384.09,105.236,16.2198,512
1024,32,16,1,1,1.52381,0.0370285,0,65.723,67.921,51.2097,0,33,32,1409.29,97.1033,16.5151,512
2048,8,8,1,1,18.1342,0.0466947,11.7962,69.545,175.263,51.23,0,33,32,947.377,51.7268,5.55103,64
2048,16,16,1,1,11.6379,0.0466019,0,68.671,98.108,51.2288,0,33,32,1476.21,84.6343,8.64964,256
2048,32,32,1,1,11.8238,0.0362655,0,77.786,77.786,51.2293,0,32,32,1452.99,54.7129,8.51364,1024
2048,16,32,1,1,11.5833,0.0397846,0,80.174,96.67,51.2279,0,33,33,1483.16,51.2387,8.69041,512
2048,32,16,1,1,11.4032,0.0337087,0,64.543,87.45,51.2124,0,32,32,1506.59,113.017,8.82766,512
4096,8,8,1,1,185.544,0.818744,394.744,225.857,243.512,51.2648,0,36,36,740.734,4.24266,2.17012,64
4096,16,16,1,1,97.3302,1.73954,213.735,227.965,301.34,54.8894,0,36,36,1412.09,8.15879,4.13698,256
4096,32,32,1,1,86.8913,2.85364,176.667,217.783,301.896,53.1125,0,36,36,1581.73,9.60547,4.63399,1024
4096,16,32,1,1,89.0202,2.48499,175.285,230.827,299.616,54.7641,0,36,36,1543.91,8.76907,4.52317,512
4096,32,16,1,1,91.4342,2.23628,184.826,242.594,309.379,54.8764,0,36,36,1503.15,8.00748,4.40375,512
1024,8,8,2,0,1.22501,0.040964,0,59.938,62.07,53.3764,0,33,33,1753.03,267.163,10.2716,64
1024,16,16,2,0,0.802413,0.0402237,0,58.22,59.103,51.2552,0,33,33,2676.28,384.259,15.6813,256
1024,32,32,2,0,0.75904,0.0406086,0,57.661,57.661,51.2843,0,33,33,2829.21,443.681,16.5774,1024
1024,16,32,2,0,0.808906,0.0396888,0,57.934,59.006,51.2587,0,33,33,2654.8,397.708,15.5555,512
1024,32,16,2,0,0.804416,0.0399625,0,58.509,59.006,51.2747,0,33,33,2669.62,369.023,15.6423,512
2048,8,8,2,0,9.93315,0.0360413,0,67.908,80.471,51.2524,0,33,33,1729.55,103.842,5.06704,64
2048,16,16,2,0,6.1501,0.0437813,0,68.196,93.099,51.2364,0,33,33,2793.43,164.71,8.18388,256
2048,32,32,2,0,5.31488,0.0517743,0,64.282,72.038,51.2183,0,33,33,3232.41,247.434,9.46996,1024
2048,16,32,2,0,6.15611,0.0366368,0,68.3,101.646,51.2793,0,33,33,2790.7,163.959,8.17589,512
2048,32,16,2,0,6.15314,0.0359834,0,98.284,98.284,51.2126,0,33,33,2792.05,59.3152,8.17983,512
4096,8,8,2,0,73.8559,2.42185,133.565,219.514,283.717,51.2162,0,35,35,1860.91,11.0572,2.72594,64
4096,16,16,2,0,48.262,0.0438183,62.2909,149.822,219.726,53.9971,0,34,34,2847.76,29.7184,4.17153,256
4096,32,32,2,0,42.8292,0.108205,51.3955,141.761,187.65,51.2648,0,34,34,3209,35.46,4.70069,1024
