Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
6144,8,8,1,0,964.046,2.66529,860.743,181.093,184.656,60.3523,0,36,36,481.156,3.98504,0.469879,64
6144,16,16,1,0,264.476,6.49585,322.538,263.443,280.859,61.803,0,38,38,1753.87,8.698,1.71276,256
6144,32,32,1,0,207.89,8.03583,256.019,262.967,285.857,61.7893,0,38,37,2231.26,11.091,2.17897,1024
6144,16,32,1,0,230.299,0.0575591,307.188,264.567,284.291,61.7965,0,38,38,2014.15,9.93314,1.96694,512
6144,32,16,1,0,221.429,7.20351,270.52,260.348,288.92,54.8306,0,37,37,2094.84,10.193,2.04574,512
8192,8,8,1,0,2223.94,3.83776,2023.17,183.278,185.423,61.1663,0,36,36,494.397,4.04874,0.362108,64
8192,16,16,1,0,609.815,4.75333,817.248,274.167,283.859,53.1637,0,39,39,1803.03,8.15837,1.32058,256
8192,32,32,1,0,489.805,13.1665,652.821,276.816,291.877,58.5724,0,39,39,2244.79,10.2857,1.64414,1024
8192,16,32,1,0,545.468,14.4357,721.952,273.87,285.576,61.8445,0,39,39,2015.72,9.50696,1.47636,512
8192,32,16,1,0,520.334,7.89323,695.515,274.782,293.309,61.8767,0,39,39,2113.09,9.925,1.54767,512
512,8,8,2,0,0.232774,0.0536607,0,52.27,52.56,61.8617,0,33,33,1153.2,22.0624,13.5141,64
512,16,16,2,0,0.187776,0.0435418,0,51.777,52.546,51.2842,0,33,33,1429.55,27.6098,16.7526,256
512,32,32,2,0,0.177664,0.0582421,0,51.778,52.355,51.2688,0,33,33,1510.92,29.1807,17.7061,1024
512,16,32,2,0,0.175853,0.0507781,0,51.976,52.546,51.2224,0,33,33,1526.48,29.3689,17.8884,512
512,32,16,2,0,0.1792,0.0512532,0,52.643,52.643,51.2726,0,32,32,1497.97,1093.07,17.5543,512
1024,8,8,2,0,1.24429,0.0548522,0,61.782,62.165,51.2266,0,33,33,1725.86,163.506,10.1125,64
1024,16,16,2,0,0.830291,0.0443423,0,57.933,58.8,51.2897,0,33,33,2586.42,389.331,15.1548,256
1024,32,32,2,0,0.762074,0.0414031,0,56.394,57.549,51.2675,0,33,33,2817.95,549.681,16.5114,1024
1024,16,32,2,0,0.825594,0.0475978,0,58.126,58.701,51.2929,0,33,33,2601.14,380.669,15.241,512
1024,32,16,2,0,0.818534,0.0531138,0,58.896,58.896,51.2767,0,33,33,2623.57,344.333,15.3725,512
2048,8,8,2,0,9.95008,0.0506378,0,66.562,100.209,51.2999,0,33,32,1726.61,113.131,5.05842,64
